

Method,CTCP
BK TCP Number,0
MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),Send Loss,RTT(ms),CWnd,FlowWindow,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s)
1.14121,0,0,12.81,2,8190,0,59,0,1.26963
2.131,0,0,5.708,2,8189,0,95,0,1.26963
1.89832,0,0,7.779,2,8189,0,90,0,1.30458
2.21266,0,0,6.769,2,8189,0,98,0,1.29293
2.45722,0,0,4.605,2,8189,0,114,0,2.24806
1.97977,0,0,7.453,2,8191,0,92,0,2.81882
1.71195,0,0,9.396,2,8189,0,78,0,2.80717
1.86343,0,0,6.118,2,8189,0,88,0,2.71398
1.78189,0,0,7.608,2,8190,0,85,0,2.43443
1.71201,0,0,8.23,2,8191,0,80,0,2.58586
2.59713,0,0,7.074,2,8189,0,116,0,2.67904
2.57383,0,0,7.729,2,8189,0,114,0,2.65574
2.36427,0,0,7.531,2,8190,0,110,0,2.76058
0.989966,0,0,12.525,2,8190,0,49,0,2.49267
1.77014,0,0,9.235,2,8190,0,86,0,2.97024
2.18934,0,0,9.66,2,8189,0,97,0,2.37619
2.07294,0,0,4.879,2,8189,0,94,0,2.0617
4.1807,0,0,2.882,2,8189,0,180,0,1.91027
3.59852,0,0,2.665,2,8189,0,156,0,2.14323
3.7033,0,0,3.012,2,8189,0,162,0,2.46938
2.88805,0,0,6.743,2,8189,0,130,0,3.14496
3.0513,0,0,3.314,2,8189,0,141,0,3.13331
3.75013,0,0,3.634,2,8189,0,165,0,3.08672
4.70516,0,0,2.6,2,8189,0,203,0,2.83046
3.65693,0,0,4.474,2,8189,0,159,0,2.70234
3.30748,0,0,5.004,2,8189,0,147,0,2.3296
1.99146,0,0,22.248,2,8191,0,87,0,2.46938
2.38753,0,0,5.79,2,8189,0,106,0,2.58586
3.21443,0,0,3.269,2,8189,0,145,0,2.53926
3.13279,0,0,2.315,2,8189,0,138,0,3.36627
4.65838,0,0,2.828,2,8189,0,201,0,3.90208
2.27089,0,0,6.656,2,8189,0,102,0,5.824
4.11102,0,0,4.155,2,8189,0,179,0,8.80589
3.77339,0,0,3.195,2,8191,0,165,0,7.67603
3.02794,0,0,5.554,2,8189,0,134,0,6.79078
3.94802,0,0,2.853,2,8189,0,173,0,5.45126
3.09781,0,0,5.684,2,8189,0,137,0,6.83738
3.52875,0,0,2.61,2,8189,0,155,0,3.4944
4.08799,0,0,2.918,2,8191,0,178,0,3.37792
3.5173,0,0,6.012,2,8191,0,156,0,3.00518
3.19104,0,0,4.357,2,8189,0,139,0,7.95558
3.31889,0,0,4.6,2,8189,0,146,0,3.45946
3.38882,0,0,6.899,2,8191,0,148,0,10.5414
3.21406,0,0,6.247,2,8189,0,145,0,6.1152
3.0046,0,0,6.269,2,8189,0,134,0,5.83565
3.7031,0,0,3.336,2,8189,0,160,0,3.72736
2.72523,0,0,6.559,2,8191,0,123,0,2.99354
2.69014,0,0,4.235,2,8191,0,119,0,2.79552
3.2726,0,0,3.584,2,8191,0,144,0,2.8887
3.13262,0,0,4.864,2,8189,0,136,0,2.38784
2.78329,0,0,5.533,2,8189,0,123,0,2.98189
3.58691,0,0,4.235,2,8189,0,154,0,3.16826
3.64516,0,0,2.075,2,8189,0,159,0,3.26144
